id,date,language,username,problemCode,contestCode,result,time,memory
18934666,2018-06-17 23:49:27,C++14,jadebelk,GOODPERM,COOK95A,TLE,1.01,19616
18934650,2018-06-17 23:49:10,C++14,jtnydv25,BTMNTREE,COOK95A,WA,0.37,89472
18934649,2018-06-17 23:49:09,C++14,mahir111,MINIONS,COOK95A,WA,0.12,15376
18934623,2018-06-17 23:48:44,C++14,ajaybgunjal199,MINIONS,COOK95A,TLE,1.51,29376
18934619,2018-06-17 23:48:41,C++14,rituraj22,MINIONS,COOK95A,TLE,1.51,19192
18934611,2018-06-17 23:48:37,C++14,new_naveen602,MINIONS,COOK95A,WA,0.18,24784
18934607,2018-06-17 23:48:31,C++14,mukul113,MINIONS,COOK95A,WA,0.12,23048
18934590,2018-06-17 23:48:21,C++14,muditchoraria,GOODPERM,COOK95A,RTE,0,15240
18934586,2018-06-17 23:48:19,PYTH,agmohit92,MINIONS,COOK95A,WA,1.56,48800
18934584,2018-06-17 23:48:18,C++14,peacemaro,SONYASEG,COOK95A,WA,0.23,41928
18934581,2018-06-17 23:48:16,C++14,guardian_123,MINIONS,COOK95A,WA,0.28,18240
18934580,2018-06-17 23:48:15,C++14,tasmeemreza,SONYASEG,COOK95A,TLE,1.01,49608
18934573,2018-06-17 23:48:08,C++14,ohm123,MINIONS,COOK95A,WA,0.28,30192
18934562,2018-06-17 23:47:54,C++14,ania7,BTMNTREE,COOK95A,WA,0.16,27016
18934555,2018-06-17 23:47:47,C++14,hans1801,MINIONS,COOK95A,TLE,1.51,58944
18934549,2018-06-17 23:47:43,C++14,chhote_log,MINIONS,COOK95A,RTE,0,23880
18934548,2018-06-17 23:47:42,PYTH,agmohit92,MINIONS,COOK95A,WA,1.87,57704
18934541,2018-06-17 23:47:37,C++14,himkha_100,GOODPERM,COOK95A,WA,0.07,16064
18934537,2018-06-17 23:47:35,C++14,ftasb1,MINIONS,COOK95A,WA,0.08,16928
18934525,2018-06-17 23:47:24,C++14,charulsharma57,NUMCOMP,COOK95A,AC,0,15232
18934510,2018-06-17 23:47:11,C++14,tasmeemreza,SONYASEG,COOK95A,TLE,1.01,49608
18934506,2018-06-17 23:47:07,C++14,ftuknights,MINIONS,COOK95A,WA,0.36,50024
18934490,2018-06-17 23:46:51,C++14,c0der_ace,DANYANUM,COOK95A,TLE,2.01,26448
18934486,2018-06-17 23:46:49,C++14,l_returns,MINIONS,COOK95A,WA,0.09,15360
18934478,2018-06-17 23:46:41,C++14,jackthekid,MINIONS,COOK95A,WA,0.34,24624
18934471,2018-06-17 23:46:36,C++14,imranasuman,GOODPERM,COOK95A,AC,0.17,15240
18934461,2018-06-17 23:46:21,C++14,vishalsoni242,GOODPERM,COOK95A,AC,0.16,15240
18934434,2018-06-17 23:46:06,C++14,rishi_illuri,MINIONS,COOK95A,WA,0.26,16680
18934428,2018-06-17 23:45:59,C++14,samarth491,MINIONS,COOK95A,WA,0.08,18248
18934423,2018-06-17 23:45:56,PYTH 3.5,suzaku_kuru,GOODPERM,COOK95A,TLE,5.01,34608
18934419,2018-06-17 23:45:52,JAVA,umbreon,MINIONS,COOK95A,WA,1.13,4640768
18934418,2018-06-17 23:45:51,C++14,goyalanubhav11,GOODPERM,COOK95A,AC,0.05,15240
18934409,2018-06-17 23:45:42,C++14,ucntstopme,NUMCOMP,COOK95A,WA,0,15240
18934407,2018-06-17 23:45:41,PYTH 3.5,fyfrog,MINIONS,COOK95A,WA,2.05,35512
18934399,2018-06-17 23:45:36,C++14,rishabh3538,MINIONS,COOK95A,WA,0.09,15248
18934394,2018-06-17 23:45:31,C++14,anay1,MINIONS,COOK95A,WA,0.13,37120
18934386,2018-06-17 23:45:23,PYTH 3.5,darkshadowrule,NUMCOMP,COOK95A,AC,0.02,27720
18934364,2018-06-17 23:45:04,C++14,viralivora,GOODPERM,COOK95A,TLE,1.01,16160
18934363,2018-06-17 23:45:01,PYTH,agmohit92,MINIONS,COOK95A,WA,1.51,57656
18934358,2018-06-17 23:44:56,C++14,teja349,BTMNTREE,COOK95A,AC,1.26,146432
18934354,2018-06-17 23:44:53,C++14,abhihacker02,MINIONS,COOK95A,WA,0.22,15360
18934343,2018-06-17 23:44:43,C++14,gomu,MINIONS,COOK95A,TLE,1.51,239680
18934338,2018-06-17 23:44:36,C++14,ptnk131627,BTMNTREE,COOK95A,WA,0.28,107584
18934333,2018-06-17 23:44:33,C++14,vishal_nnd0,MINIONS,COOK95A,WA,0.42,38392
18934310,2018-06-17 23:44:11,C++14,himkha_100,GOODPERM,COOK95A,WA,0.07,15240
18934304,2018-06-17 23:44:07,C++14,nirjhor,MINIONS,COOK95A,WA,0.29,26176
18934293,2018-06-17 23:43:59,C++14,muditchoraria,GOODPERM,COOK95A,RTE,0,15240
18934292,2018-06-17 23:43:59,C++14,japoorv,GOODPERM,COOK95A,AC,0.29,54560
18934287,2018-06-17 23:43:57,C++14,furious__,MINIONS,COOK95A,WA,0.06,43240
18934284,2018-06-17 23:43:53,C++14,isaf27,BTMNTREE,COOK95A,AC,1.34,237248
18934274,2018-06-17 23:43:46,C++14,ninja_69,SONYASEG,COOK95A,WA,0.22,16808
18934273,2018-06-17 23:43:45,C++14,devils_hearth,MINIONS,COOK95A,WA,0.26,19072
18934270,2018-06-17 23:43:43,C++14,fayaz_007,SONYASEG,COOK95A,WA,0.12,24640
18934249,2018-06-17 23:43:29,C++14,l_returns,MINIONS,COOK95A,WA,0.08,15360
18934243,2018-06-17 23:43:23,C++14,shisui24,SONYASEG,COOK95A,WA,0.22,27744
18934235,2018-06-17 23:43:17,C++14,ninja_69,SONYASEG,COOK95A,WA,0.22,16808
18934218,2018-06-17 23:43:02,C++14,iit_bhu,MINIONS,COOK95A,TLE,1.51,34040
18934215,2018-06-17 23:42:59,C++14,ayubansal1998,MINIONS,COOK95A,WA,0.35,32848
18934216,2018-06-17 23:42:59,C++14,new_naveen602,GOODPERM,COOK95A,AC,0.02,15240
18934208,2018-06-17 23:42:55,C++14,geniusclone,MINIONS,COOK95A,WA,0.33,44040
18934204,2018-06-17 23:42:49,C++14,ohm123,MINIONS,COOK95A,WA,0.26,30184
18934201,2018-06-17 23:42:45,C++14,dsingh_24,SONYASEG,COOK95A,WA,0.14,30776
18934156,2018-06-17 23:42:12,C++14,rishabh3538,MINIONS,COOK95A,WA,0.09,15248
18934152,2018-06-17 23:42:05,C++14,vivek_rathi_53,GOODPERM,COOK95A,WA,0.02,15240
18934146,2018-06-17 23:42:01,C++14,havingfun,NUMCOMP,COOK95A,AC,0,16136
18934144,2018-06-17 23:41:59,C++14,manthanchauhan,GOODPERM,COOK95A,WA,0,15240
18934140,2018-06-17 23:41:59,C++14,tanuj_drall,MINIONS,COOK95A,WA,0.88,26304
18934117,2018-06-17 23:41:41,C++14,ruddradev,GOODPERM,COOK95A,WA,0.1,15240
18934115,2018-06-17 23:41:39,C++14,chhote_log,MINIONS,COOK95A,WA,1.28,70720
18934111,2018-06-17 23:41:35,C++14,hetshah1998,MINIONS,COOK95A,TLE,1.51,30464
18934106,2018-06-17 23:41:31,C++14,bobby_123,MINIONS,COOK95A,WA,0.27,32216
18934104,2018-06-17 23:41:30,C++14,darkshadowrule,GOODPERM,COOK95A,WA,0.15,16064
18934091,2018-06-17 23:41:17,C++14,c0der_ace,DANYANUM,COOK95A,TLE,2.01,26448
18934088,2018-06-17 23:41:15,C++14,sp001,MINIONS,COOK95A,WA,0.43,57432
18934089,2018-06-17 23:41:15,C++14,bhanu015,MINIONS,COOK95A,WA,0.72,22928
18934077,2018-06-17 23:41:06,C++14,ftasb1,MINIONS,COOK95A,WA,0.08,17760
18934070,2018-06-17 23:41:01,C++14,shashwat_garg,MINIONS,COOK95A,WA,0.09,19192
18934039,2018-06-17 23:40:42,C++14,rishi_illuri,MINIONS,COOK95A,WA,0.26,17504
18934038,2018-06-17 23:40:41,C++14,furious__,MINIONS,COOK95A,TLE,1.51,2164736
18934034,2018-06-17 23:40:40,C++14,nuip,BTMNTREE,COOK95A,TLE,3.01,338560
18934032,2018-06-17 23:40:38,C++14,user28040,MINIONS,COOK95A,WA,0.52,32808
18934030,2018-06-17 23:40:38,C++14,shisui24,SONYASEG,COOK95A,WA,0.22,27744
18934031,2018-06-17 23:40:38,C++14,muditchoraria,GOODPERM,COOK95A,CTE,0,0
18934015,2018-06-17 23:40:23,JAVA,aman_robotics,MINIONS,COOK95A,WA,0.91,4575232
